Member_number,Date,itemDescription
2349,26/02/2015,sausage
1463,24/12/2015,sausage
3470,19/02/2015,root vegetables
4914,29/11/2015,whole milk
2448,31/08/2015,frankfurter
3387,10/05/2015,soda
3167,04/11/2015,soda
3175,17/03/2015,frankfurter
2678,21/09/2015,berries
4627,18/12/2015,canned beer
1773,17/10/2015,frankfurter
3100,23/05/2015,frankfurter
3232,29/05/2015,berries
3673,12/08/2015,frankfurter
4068,19/11/2015,newspapers
2340,07/10/2015,frozen fish
1930,01/03/2015,tropical fruit
3526,02/06/2015,beef
1617,10/02/2015,rolls/buns
1028,11/07/2015,specialty chocolate
4440,01/12/2015,sparkling wine
3554,23/07/2015,citrus fruit
1632,15/12/2015,onions
1429,07/02/2015,whole milk
1225,20/05/2015,photo/film
2509,15/07/2015,hamburger meat
4945,02/08/2015,other vegetables
4342,18/03/2015,whole milk
1832,28/09/2015,pork
1518,21/06/2015,tropical fruit
1512,20/09/2015,chicken
4818,20/03/2015,other vegetables
4686,19/08/2015,sausage
4986,01/02/2015,whole milk
2755,06/02/2015,rolls/buns
4532,29/11/2015,hygiene articles
2070,16/08/2015,ice cream
1894,09/05/2015,curd
3473,25/01/2015,whole milk
2140,28/09/2015,onions
3286,23/12/2015,finished products
4729,08/04/2015,salt
3204,20/02/2015,tropical fruit
1574,18/04/2015,other vegetables
3361,22/07/2015,chocolate
1776,25/02/2015,ice cream
2009,11/10/2015,tropical fruit
3479,24/03/2015,frankfurter
2394,22/11/2015,butter
1337,25/12/2015,other vegetables
3574,13/06/2015,tropical fruit
1727,18/07/2015,citrus fruit
1016,05/10/2015,UHT-milk
4326,21/01/2015,beef
2212,22/09/2015,curd
1990,01/08/2015,citrus fruit
3836,06/12/2015,yogurt
4560,01/07/2015,bottled beer
1119,04/02/2015,grapes
1379,18/05/2015,pork
1658,03/09/2015,sausage
2948,16/06/2015,frankfurter
1273,04/05/2015,artif. sweetener
1155,27/12/2015,frankfurter
1672,05/02/2015,pip fruit
3841,02/04/2015,frankfurter
1683,20/08/2015,whole milk
1774,07/08/2015,domestic eggs
4441,17/06/2015,packaged fruit/vegetables
1929,02/05/2015,chicken
1273,31/01/2015,pork
2920,11/10/2015,citrus fruit
2467,18/04/2015,light bulbs
2678,28/11/2015,cream cheese 
3423,02/06/2015,sausage
4223,19/07/2015,citrus fruit
2846,23/09/2015,other vegetables
4103,26/07/2015,chicken
4789,02/05/2015,ice cream
4916,26/02/2015,pork
2518,03/05/2015,pork
2622,07/03/2015,onions
